trial,q_first_click,q_click_drivers,q_detail_info,q_detail_top,q_buy_first,q_notbuy_first,q_consider_more,q_second_click,q_buy_second,q_notbuy_second,q_third_click,q_buy_third,q_notbuy_third,q_fallback,q_fallback_blocker,q_reject_A,q_reject_B,q_reject_C,q_reject_D,q_reject_E,q_reject_F,q_page_browse,q_page_buy,q_factor_most,q_factor_second,q_importance_title,q_importance_image,q_importance_bullets,q_importance_aplus,q_importance_attr,q_importance_price,q_importance_reviews,q_importance_trust,q_listing_redline,q_material_pref,q_transparency_pref,q_badge_effect,q_switch_trigger,q_price_acceptance,q_purchase_intent
10,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|price_deal|zoom_images,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|material|want_compare,B,not_buy,price_suspicious|material|review_concern,A,price|timing,price_too_high,price_suspicious|material,price_suspicious|material,few_reviews|material|pack,look|rating,few_reviews|size|material,page2,page1,material,reviews,4,5,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
11,A,main_image|color_pattern|star_rating|review_count|material_word|magnets|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|material|want_compare,B,add_cart,want_compare,C,reviews_trust|material,price_too_high,price_suspicious|brand,price_suspicious|brand,few_reviews|material|pack,few_reviews|look,few_reviews|size|material,page2,page1,price_value,reviews,4,5,4,2,4,5,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image,eva,semi,yes_somewhat,lower_price,4,4
12,A,main_image|color_pattern|review_count|star_rating|material_word|magnets|imagine_look,reviews_photos|negative_reviews|bullets|material_cert|size_specs|zoom_images|qa|price_deal,negative_reviews,not_buy,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|material|want_compare,C,not_buy,price_suspicious|material|few_reviews|want_compare,A,price|timing,price_too_high,price_suspicious|material,price_suspicious|material|few_reviews,few_reviews|pack|material,look|transparency|brand|few_reviews,few_reviews|size|transparency,page2,page1,reviews,material,4,5,5,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
13,A,main_image|color_pattern|star_rating|review_count|material_word|magnets|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|qa|zoom_images|price_deal,negative_reviews,add_cart,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|material|few_reviews,E,not_buy,rating|few_reviews|transparency|brand,A,price|timing,fallback_favorite|price_too_high,price_suspicious|brand|material,price_suspicious|brand|few_reviews,few_reviews|material|pack,transparency|rating|few_reviews|brand,few_reviews|size|material,page2,page1,reviews,material,4,4,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|no_bullets|mismatch_title,eva,semi,yes_somewhat,better_rating,4,4
14,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|price_deal,reviews_photos,not_buy,price_too_high|want_compare,yes_more,B,add_cart,price_suspicious|want_compare,C,add_cart,price_suspicious|few_reviews|want_compare,C,price|reviews_trust|material,price_too_high,price_suspicious|material,fallback_favorite|price_suspicious|few_reviews,few_reviews|material|pack,look|few_reviews,few_reviews|size|look,page2,page1,price_value,appearance,4,5,4,2,4,5,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_value,4,4
15,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,reviews_photos,not_buy,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|material|want_compare,C,not_buy,few_reviews|price_suspicious|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|material|brand,few_reviews|price_suspicious|brand,few_reviews|material|brand,few_reviews|look|brand,few_reviews|size|look,page2,page1,reviews,material,4,5,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
16,A,main_image|star_rating|review_count|material_word|magnets|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|qa|price_deal|zoom_images,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|brand|few_reviews|want_compare,B,not_buy,price_suspicious|brand|review_concern|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|brand|review_concern,price_suspicious|brand|few_reviews,few_reviews|price_suspicious|material,few_reviews|look|brand,few_reviews|size|look|brand,page2,page1,reviews,material,4,5,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|no_bullets,eva,semi,yes_somewhat,better_rating,3,4
17,A,star_rating|review_count|material_word|main_image|magnets|right_size,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|look|want_compare,E,not_buy,few_reviews|transparency|want_compare,A,price|reviews_trust|info_gap,fallback_favorite|price_too_high,price_suspicious|look,price_suspicious|look|few_reviews,few_reviews|material|pack,few_reviews|transparency,few_reviews|size|look,page2,page1,reviews,price_value,4,4,4,2,4,5,5,4,low_rating|no_size|material_unclear|blur_image,eva,semi,unlikely,better_rating,3,4
18,A,main_image|color_pattern|review_count|star_rating|material_word|imagine_look|magnets,reviews_photos|negative_reviews|bullets|material_cert|size_specs|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|material|want_compare,C,not_buy,price_suspicious|brand|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|look,price_suspicious|brand,few_reviews|pack|price_suspicious,look|few_reviews,few_reviews|size|material,page2,page1,reviews,price_value,4,5,4,2,4,4,5,4,low_rating|no_size|material_unclear|blur_image|mismatch_title,eva,semi,unlikely,better_rating,3,4
19,A,star_rating|review_count|main_image|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,reviews_photos,add_cart,price_too_high|want_compare,yes_more,B,add_cart,price_suspicious|material|look|want_compare,C,add_cart,price_suspicious|brand|few_reviews|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|material|look,price_suspicious|brand|few_reviews,few_reviews|pack|material,look|few_reviews|brand,few_reviews|size|material,page1,page1,reviews,material,4,5,4,2,4,5,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|no_bullets,eva,semi,no_effect,better_rating,3,4
20,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|look|want_compare,C,not_buy,price_suspicious|material|want_compare,A,price|timing|info_gap,fallback_favorite|price_too_high,price_suspicious|look,price_suspicious|material,few_reviews|pack|material,few_reviews|look|brand,few_reviews|size|transparency,page2,page1,material,reviews,4,5,4,2,4,3,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,unlikely,better_rating,3,4
21,A,main_image|color_pattern|review_count|star_rating|imagine_look|material_word,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|price_deal,negative_reviews,not_buy,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|look,C,buy_now,no_concern,C,no_blocker,price_too_high|missing_magnet,price_suspicious|look,final_purchase,few_reviews|material,look|few_reviews,few_reviews|size,page2,page1,reviews,price_value,4,5,4,2,3,4,5,4,low_rating|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,5,4
22,A,main_image|color_pattern|review_count|magnets|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|brand|material|want_compare,E,not_buy,few_reviews|brand|material|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|brand|material|look,price_suspicious|brand|material,few_reviews|brand|pack|material,few_reviews|look|brand,few_reviews|size|look|brand,page2,page1,reviews,material,5,5,4,1,5,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,unlikely,better_rating,3,4
23,A,review_count|star_rating|main_image|imagine_look|material_word,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|delivery_returns,negative_reviews,not_buy,price_too_high|want_compare|transparency,yes_more,C,not_buy,price_suspicious|brand|want_compare,E,not_buy,few_reviews|brand|want_compare,A,price|look_compromise|timing,fallback_favorite|price_too_high,price_suspicious|brand|look,price_suspicious|brand|look,few_reviews|brand|material|pack,few_reviews|brand|look,few_reviews|brand|size,page2,page1,reviews,price_value,4,5,4,2,4,4,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,unlikely,better_rating,3,3
24,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look|right_size,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,material|few_reviews|want_compare,B,not_buy,material|price_suspicious|want_compare,A,price|info_gap,fallback_favorite|price_too_high,price_suspicious|material|few_reviews,material|few_reviews,few_reviews|material|pack,look|few_reviews|brand,few_reviews|size|look,page2,page1,reviews,price_value,4,5,4,2,4,4,5,4,low_rating|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
25,A,main_image|color_pattern|star_rating|review_count|material_word|magnets|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,reviews_photos,add_cart,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|material|look|want_compare,C,not_buy,price_suspicious|few_reviews|brand|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|material|look,price_suspicious|few_reviews|brand,few_reviews|pack|brand,look|few_reviews|brand,few_reviews|size|brand,page2,page1,reviews,material,5,5,4,2,4,5,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|no_bullets|brand_unfamiliar|mismatch_title,eva,semi,yes_somewhat,better_rating,4,4
26,A,main_image|color_pattern|review_count|material_word|imagine_look,negative_reviews|reviews_photos|bullets|material_cert|size_specs|zoom_images,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|material|brand|want_compare,E,not_buy,rating|few_reviews|transparency|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|material|brand|review_concern,price_suspicious|material|brand,few_reviews|material|brand|pack,transparency|few_reviews|rating,few_reviews|size|brand|material,page2,page1,material,price_value,4,5,4,2,4,5,5,5,low_rating|no_size|material_unclear|blur_image|no_bullets,eva,semi,yes_somewhat,better_value,3,4
27,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|brand|few_reviews,E,not_buy,brand|few_reviews|look,A,price|timing,fallback_favorite|price_too_high,price_suspicious|brand|material,price_suspicious|brand|few_reviews,few_reviews|brand|pack,few_reviews|brand|look,few_reviews|size|brand,page2,page1,reviews,material,4,4,4,2,4,5,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
28,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look|magnets,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,B,not_buy,look|price_suspicious|want_compare,C,not_buy,look|want_compare,A,price|timing,fallback_favorite|price_too_high,look|price_suspicious,look,few_reviews|material|pack,look|transparency|few_reviews,few_reviews|size|look,page2,page1,material,price_value,4,5,4,2,4,4,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_value,2,4
29,A,main_image|star_rating|review_count|material_word|magnets|imagine_look|title_keyword,reviews_photos|negative_reviews|bullets|size_specs|material_cert|qa|price_deal|zoom_images,negative_reviews,not_buy,price_too_high|transparency|want_compare,yes_more,C,not_buy,price_suspicious|brand|material|want_compare,B,not_buy,price_suspicious|look|material|want_compare,A,price,fallback_favorite|price_too_high|transparency,price_suspicious|look|material,price_suspicious|brand|material,few_reviews|material|pack,look|few_reviews|transparency,few_reviews|size|material,page2,page1,reviews,material,4,5,4,2,4,4,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,unlikely,better_rating,3,4
30,A,main_image|color_pattern|star_rating|review_count|magnets|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,add_cart,price_too_high|want_compare,yes_more,C,add_cart,price_suspicious|brand|want_compare,E,not_buy,few_reviews|material|brand|transparency,A,price|timing|look_compromise,fallback_favorite|price_too_high,price_suspicious|brand|look|few_reviews,price_suspicious|brand|few_reviews,few_reviews|pack|material|brand,few_reviews|transparency|brand|material,few_reviews|size|brand|look,page2,page1,reviews,material,4,5,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|no_bullets|mismatch_title,eva,semi,unlikely,better_rating,4,4
31,A,main_image|color_pattern|star_rating|review_count|material_word|magnets|imagine_look|right_size,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|price_deal,negative_reviews,not_buy,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|material|want_compare,C,not_buy,price_suspicious|material|few_reviews|want_compare,A,price,fallback_favorite|price_too_high,price_suspicious|material,price_suspicious|material|few_reviews,few_reviews|material|pack,look|few_reviews|brand,few_reviews|size|look,page2,page1,reviews,price_value,4,5,4,2,4,4,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|no_bullets|mismatch_title,eva,semi,yes_somewhat,better_value,3,4
32,A,main_image|color_pattern|star_rating|review_count|material_word|magnets|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|qa|price_deal|delivery_returns|zoom_images,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|material|want_compare,D,not_buy,few_reviews|material|rating,A,price|timing,fallback_favorite|price_too_high,price_suspicious|brand|material|transparency,price_suspicious|brand|material,few_reviews|material|pack,look|transparency|few_reviews|brand,few_reviews|size|material|brand,page2,page1,reviews,material,4,5,4,2,4,4,5,5,low_rating|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,2,3
33,A,main_image,reviews_photos,reviews_photos,buy_now,no_concern,yes_more,A,skip_ordered,skip_ordered,A,skip_ordered,skip_ordered,A,no_blocker,final_purchase,final_purchase,final_purchase,final_purchase,final_purchase,final_purchase,page1,page1,price_value,price_value,3,3,3,3,3,3,3,3,low_rating,eva,fully_transparent,yes_strongly,lower_price,3,3
34,A,main_image|star_rating|review_count|material_word|magnets|right_size|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|qa|price_deal|zoom_images,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|brand|material,E,not_buy,look|transparency|few_reviews,A,price|timing,fallback_favorite|price_too_high,price_suspicious|brand|look|material,price_suspicious|brand|look|material,few_reviews|pack|material,look|transparency|few_reviews,few_reviews|size|look,page2,page1,reviews,price_value,4,4,4,2,4,5,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,2,3
35,A,main_image|color_pattern|star_rating|review_count|title_keyword|material_word|right_size|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa|price_deal,negative_reviews,add_cart,price_too_high|want_compare,yes_more,C,add_cart,price_suspicious|brand|want_compare,B,buy_now,no_concern,B,no_blocker,price_too_high,final_purchase,brand,few_reviews|material,look|few_reviews,few_reviews|size|transparency,page2,page1,reviews,price_value,4,5,4,2,4,5,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,5,4
36,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|brand|few_reviews|want_compare,E,not_buy,rating|few_reviews|brand|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|brand|look,price_suspicious|brand|few_reviews,few_reviews|pack|material,rating|few_reviews|brand,few_reviews|size|look,page2,page1,price_value,reviews,4,5,4,2,4,5,5,4,low_rating|no_size|material_unclear|blur_image|no_bullets,eva,semi,yes_somewhat,better_rating,3,4
37,A,main_image|color_pattern|star_rating|review_count|material_word|right_size|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|material|want_compare,B,not_buy,price_suspicious|material|brand,A,price|material,fallback_favorite|price_too_high,price_suspicious|material|brand,price_suspicious|brand,few_reviews|pack|brand,look|few_reviews|brand,few_reviews|size|look,page2,page1,reviews,material,4,5,4,2,4,4,5,5,low_rating|few_reviews|material_unclear|blur_image|no_size,eva,semi,yes_somewhat,better_rating,3,4
38,A,main_image|color_pattern|star_rating|review_count|material_word|magnets|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,reviews_photos,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|brand|want_compare,B,not_buy,price_suspicious|brand|material|want_compare,A,price|info_gap,fallback_favorite|price_too_high,price_suspicious|brand|material,price_suspicious|brand,few_reviews|brand|material,look|brand|few_reviews,few_reviews|size|brand,page2,page1,material,reviews,4,5,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
39,A,review_count|star_rating|material_word|magnets|main_image|right_size,negative_reviews|reviews_photos|bullets|material_cert|size_specs|zoom_images|price_deal,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,brand|material|few_reviews|want_compare,E,not_buy,few_reviews|brand|material,A,price|timing,fallback_favorite|price_too_high,brand|material|look,brand|few_reviews|material,few_reviews|material|pack,few_reviews|brand|look,few_reviews|size|look,page2,page1,reviews,material,4,5,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|no_bullets,eva,semi,yes_somewhat,better_rating,3,4
40,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look|magnets,reviews_photos|negative_reviews|bullets|material_cert|zoom_images|qa|size_specs,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|few_reviews|brand|want_compare,B,not_buy,price_suspicious|material|brand|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|material|brand,price_suspicious|few_reviews|brand,few_reviews|material|pack,look|brand|few_reviews,few_reviews|size|look,page1,page1,reviews,material,4,5,4,2,4,4,5,5,low_rating|few_reviews|material_unclear|blur_image|no_bullets,eva,semi,yes_somewhat,better_rating,3,4
41,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|material|want_compare,C,not_buy,price_suspicious|few_reviews|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|material|brand,price_suspicious|few_reviews|brand,few_reviews|pack|brand,look|few_reviews,few_reviews|size|look,page2,page1,material,reviews,4,5,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
42,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look|title_keyword,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|price_deal,negative_reviews,add_cart,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|material|want_compare,C,not_buy,price_suspicious|material|brand|want_compare,A,price|info_gap,fallback_favorite|price_too_high,price_suspicious|material|brand,price_suspicious|material|brand,few_reviews|material|pack,look|brand|few_reviews,few_reviews|size|brand,page2,page1,material,reviews,4,5,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
43,A,main_image|color_pattern|star_rating|review_count|magnets|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,reviews_photos,not_buy,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|material|transparency,C,not_buy,price_suspicious|material|transparency|brand,A,price|timing,fallback_favorite|price_too_high,price_suspicious|material|transparency,price_suspicious|material|transparency|brand,few_reviews|material|pack,few_reviews|look|transparency,few_reviews|size|transparency|material,page2,page1,reviews,material,4,5,4,3,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
