id,asin,brand_anonymized,brand_original,price_usd,product_type,brush_head_material,pack_count,refill,color,handle,holder,key_features,size_note,rating,review_count,rating_credibility,image_description
P11,B0D2C9BC6N,P11,SetSail,29.99,刷+搋2合1套装,黑色搋头+刷,2,,黑色亮面,加长手柄,圆润弧形一体收纳底座,半隐藏搋子；2套装；一体收纳,约9.3×17.7×20.8in（大套装）,4.4,7796,高,两个外观一致的黑色亮面立式收纳底座并排；上方竖立细长柱杆；圆润弧形设计；纯白背景。
P12,B0CGDHB2FC,P12,LOVLOY,15.29,刷+搋2合1套装,黑色橡胶搋头+刷,1,,灰色,加长手柄,通风式收纳底座,通风底座；重型搋子；适配5.3英寸排水口,约8.6×7.2×6.1in,4.7,1475,中,灰黑配色收纳式底座，双杆（橡胶搋头杆+清洁刷位）；蓝白吊牌（NEW/2IN1/UPGRADED DESIGN 已剥离）。
P13,B07TNHWFXJ,P13,Sellemer,11.99,硅胶刷套装,硅胶刷头,1,,珍珠白,白色长柄,通风槽收纳盒（黑底白壳）,硅胶不伤马桶；通风快干,约4×2×16in,4.0,36538,高,白色长柄硅胶刷头配白色收纳盒（黑色底座）；盒身印品牌 SELLEMER；纯白背景。
P14,B0FCY9Y3JP,P14,AONEZ,29.99,单刷套装（紧凑型）,黑色海绵刷头,3,,黑色,不锈钢长柄（黑色手柄）,深灰圆柱收纳底座,紧凑小尺寸；不锈钢手柄；易隐藏；防滴漏,约4×4×16in,4.3,10656,高,三支套装；一支斜放（银色金属杆+黑手柄、黑色海绵头）；两支直立收纳于深灰圆柱底座；红吊牌（3 PACK 已剥离）。
P15,B0CPXV2K34,P15,HAMITOR,11.99,单刷套装（弧形）,黑色密集刷毛,1,,白色（灰环带底座）,弧形手柄（防滑纹理）,镂空圆柱收纳底座,弧形柄死角清洁；紧凑隐藏；RV适用,约3.9×3.9×16.6in,4.4,7393,高,灰白配色；弧形刷柄带防滑纹理、黑色密集刷毛；白底灰环带镂空圆柱底座，刷可斜靠收纳。
P16,B0995KL5K4,P16,uptronic,19.99,单刷套装（加长柄）,尼龙刷毛,2,,青铜/深棕,加长手柄,带盖圆柱收纳筒,加长手柄；带盖收纳；深层清洁,约17×4.5×4.5in,4.5,4627,中,两个同款深棕色（哑光青铜）圆柱收纳筒配长柄刷并排；筒底弧形底座；哑光质感。
P17,B0GJPRYJLY,P17,Holaloha,6.99,单刷套装（含缝隙刷）,密集尼龙刷毛,1,,白色（灰部件）,标准手柄,白色收纳底座,省空间；附缝隙小刷；密毛360°清洁,约4.1×3.3×15.7in,4.3,173,低（样本不足，评分仅供参考）,白色主体灰部件；长柄主刷+两个不同样式小清洁刷+白色底座；蓝红吊牌（NEW TOILET BRUSH SET with CREVICE BRUSH 已剥离）。
P18,B088K29VNZ,P18,MR.SIGA,38.99,刷+搋2合1套装,黑色橡胶搋头+刷,2,,黑色亮面,加长手柄,黑色底座收纳架,重型搋子；2套装,约18.1×6.3×8.2in,4.5,11972,高,两个外观一致的黑色亮面搋子套装并排；每套装含长柄搋头与配套黑色底座收纳架。
P19,B0FLYCVSTQ,P19,SetSail,33.99,单刷套装（自动关盖）,尼龙刷毛,4,,纯白,加长手柄（金属连接杆）,方形自动关盖收纳盒,自动关盖；加长手柄；通风设计；4件装,约5×5×17.5in,4.5,5202,高,四套白色刷套装；金属连接杆长柄+方形底座收纳盒；左侧盒盖打开露出内部结构，其余闭合；盒侧印品牌。
P20,B09JVFPZXK,P20,uptronic,11.69,单刷套装（加长柄）,尼龙刷毛,1,,深棕色,加长手柄,圆柱收纳筒（带盖）,加长手柄；耐用刷毛；带盖收纳,约8×1×2in,4.4,4780,中,深棕色圆柱收纳筒与配套长柄刷；刷头收纳于筒内；简约现代；纯白背景。
P21,B0GT4YY6XV,P21,OSAMEDA,20.99,刷+搋3合1套装（含缝隙刷）,黑色橡胶搋头+刷,2,,亮黑,长杆手柄,收纳底座,3合1；含缝隙刷；2套装,大套装（约3.19磅）,4.4,740,中,两套黑色搋子组合（长杆+收纳底座）并排；右侧另摆两把同款细长金属杆配件（缝隙刷）；亮面黑。
P22,B09BX6ZW69,P22,Clorox,22.4,刷+搋2合1套装,黑色橡胶搋头+刷,2,,白/灰,白色手柄（黑色握区）,独立收纳 caddy,重型搋子；自由站立 caddy；2套装,约17.3×16.1×14.4in,4.5,7722,高,两组同款套装并排；每组白柄黑握区搋子+白色收纳底座；黑色橡胶搋头；纯白背景。
P23,B08RCJR77R,P23,Wsedor,29.99,单刷套装（不锈钢柄）,尼龙刷毛,2,,银色,304不锈钢长柄,不锈钢圆柱筒身,304不锈钢手柄；人体工学；耐用,约4.1×4.1×15.7in,4.4,272,低（样本不足，评分仅供参考）,两个外观一致的不锈钢圆柱筒身并排；顶部细长金属刷杆延伸；哑光银质感；底部轻微反光。
P24,B0GS645WC5,P24,Dealsgogo,9.99,壁挂式硅胶刷,硅胶刷头,1,,灰色,长柄（顶部挂孔）,壁挂式一体底座,硅胶不伤瓷；壁挂收纳；防滚防滴；RV/房车适用,约3.9×1.7×14.4in,4.3,978,中,浅灰长柄刷配一体式收纳底座；杆顶有挂孔；左侧圆形放大图标示杆身螺纹拼接结构；右侧牛皮纸包装盒。
P25,B0G4QL1MJF,P25,FORASTO,26.99,刷+搋2合1套装,黑色橡胶搋头+刷,2,,奶油白,加长手柄,一体式收纳底座,加长柄搋子；赠清洁手套2双；2套装,大套装（约2.99磅）,4.4,1335,中,两套白色底座黑搋头的一体式组合；左侧吊牌（NEW 2PACK STRONG POWER 已剥离）；右侧两双蓝色橡胶手套为赠品展示。
P26,B09G6D4GXP,P26,HAMITOR,23.99,单刷套装（现代设计）,黑色海绵刷头,2,,白色,白色塑料杆（带圆形防溅挡板）,白色圆柱收纳底座,现代设计；防溅挡板；2套装,约4.1×4.1×16.5in,4.4,1648,中,三态展示：取出状态的刷（黑海绵头+白杆+圆形防溅挡板）、空圆柱底座、插入后的完整收纳状态。
P27,B0D28YKSC8,P27,Hohoky,26.99,一次性刷系统,一次性海绵头（蓝白条纹）,1,50,白色+蓝,标准手柄,壁挂式收纳底座,一次性可抛；50片替换头；壁挂；卫生,约5.9×3.5×15.7in,4.7,1725,中,白色手柄与收纳底座；中间与右侧堆叠蓝白条纹一次性替换头；前景两个拆开刷头；背景蓝色包装盒（印 OHOKY Toilet Brush）。
P28,B00BZP66HK,P28,simplehuman,34.99,单刷套装（不锈钢 caddy）,灰色尼龙刷毛,1,,白+银,加长手柄,不锈钢弧形底座收纳架,不锈钢 caddy；经典设计,约7.3×3.7×18.6in,4.4,5347,高,白色主体配银色金属部件；长柄刷+弧形底座收纳架；灰色刷毛；简洁现代；纯白背景。
P29,B0H4ZJLGV4,P29,SAVEGA,24.99,刷+搋2合1套装（金色）,黑色橡胶搋头+刷,1,,金/黑,金属杆（黑色握柄）,金色双孔收纳底座,金色 caddy；2合1；轻奢设计,约10.2×5.9×19.3in,4.0,40,低（样本不足，评分仅供参考）,深灰双孔底座配两根金属杆身与黑色握柄清洁棒；左侧青绿包装盒；三个圆形图标展示不同配色握柄。
P30,B0GQZ24NXP,P30,HAMITOR,59.99,刷+搋2合1套装（不锈钢）,黑色密集刷毛+黑色橡胶搋头,1,,金/黑,黑黄分段手柄,金色与黑色相间收纳底座,不锈钢组合；弧形刷毛；重型疏通；紧凑隐藏,约6.8×6×9.9in,4.4,1039,中,金色与黑色相间收纳底座；带底座的搋子（黑黄分段手柄）与单支马桶刷（黑色密集刷毛）并置；简约轻奢风。
