trial,persona_path,reward,choice,choice_label,price,price_threshold,feature_priority,purchase_likelihood,age_bracket,economic_motivation,region,socioeconomic_band,gender_identity,life_stage,urbanicity,income,employment,rationale
survey_toilet-brush-choice__2ea39MD,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-29f3321793ca.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,65+,,North America,Upper-middle,Man,Mid-life,Small town,null,Retired,"I want a clean, uncluttered look and a holder that actually dries instead of pooling water, and the OXO Hideaway's auto-opening ventilated canister delivers both. OXO is a brand I trust for durable, well-engineered household tools, and at $19.97 the price is reasonable for a set I'll use every day for years."
survey_toilet-brush-choice__2fKeYPf,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-1bda185f8dde.yaml,1.0,clorox_under_rim,Clorox Corner Under-Rim,15.5,5,cleaning,4,25-34,,North America,Lower-middle,Woman,,,,Full-time,"With two kids and a full-time job, I need a brush that actually gets under the rim without me scrubbing forever, and the dedicated under-rim scrubber plus antibacterial bristles does that. The Clorox brand is one I already trust for bathroom cleaning, and at $15.50 the corner caddy design saves space in a small bathroom."
survey_toilet-brush-choice__2fQ6cDh,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_stackoverflow-61d2c7533689.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,25-34,,North America,,,,,,Full-time,"I want a compact, hygienic set that hides the brush and avoids standing water, and OXO's auto-open ventilated canister does exactly that. The price is reasonable for a well-designed, compact unit, and I trust OXO's build quality over no-name silicone brushes."
survey_toilet-brush-choice__2gQcUjL,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-9e0077756fde.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,65+,,North America,High income,Man,Mid-life,Small town,null,Retired,"I am a senior professional who values order and reliability, and OXO is a brand whose ergonomic design and build quality I trust. The hideaway canister keeps the brush out of sight and the ventilated tray prevents the stagnant water and odor that plague open holders, which matters more to me than saving a few dollars. It is compact, tidy, and appropriately priced for a household item I will use for years."
survey_toilet-brush-choice__2ig64yR,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-d25a8eeff434.yaml,1.0,ibergrif_silicone,Ibergrif M34152 Silicone,13.9,4,hygiene,4,45-54,,North America,Lower-middle,Woman,,,,Full-time,"It's affordable at $13.90 and the silicone bristles with a ventilated quick-dry holder fit my priority on hygiene and easy cleaning. I also like that the head is replaceable, so it lasts longer without spending much."
survey_toilet-brush-choice__2kA6zM7,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_amazon-0e8d98b7ba11.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,45-54,Value-driven,North America,,,,,,,"OXO is a brand I trust for well-engineered, durable household tools, and the hideaway canister keeps the brush out of sight, which matters for a small bathroom's look. The auto-open mechanism and ventilated tray solve the two real hygiene annoyances — dripping water and visible mess — at a fair mid-range price."
survey_toilet-brush-choice__2mU67oH,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-03ed64596e6e.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,,,North America,,Man,Mid-life,,,Self-employed,"I want a clean-looking bathroom and a brush that disappears when not in use, and the OXO's hideaway canister does exactly that while keeping the head ventilated so it doesn't sit in dirty water. The brand has a solid reputation for durable, well-designed tools, and at $19.97 the price is fair for something I'll use for years."
survey_toilet-brush-choice__2neWumn,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-6857b7ed0395.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,5,hygiene,4,65+,Value-driven,North America,Middle,Woman,Retirement,Small town,null,Retired,"I have always valued well-made, thoughtfully designed tools, and OXO has a long-standing reputation for exactly that. The hideaway canister keeps the brush discreetly out of sight, which suits my preference for an orderly, uncluttered bathroom, and the ventilated tray prevents the standing water that so often makes these items unpleasant. At just under twenty dollars, it is a sensible, durable purchase rather than a false economy."
survey_toilet-brush-choice__2pasNAS,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-f5e609e1a915.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,25-34,,North America,Lower-middle,Man,,,,,"I want something compact and tidy for a small bathroom, and the hideaway canister that opens automatically keeps the brush out of sight and looks clean. OXO is a brand I trust for everyday household items, and at $19.97 the price is reasonable for the quality."
survey_toilet-brush-choice__2qKhStL,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-c4782abbe38b.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,65+,,North America,Middle,Man,Mid-life,Suburban,,Self-employed,"The OXO Hideaway's auto-open canister keeps the brush fully concealed when stored, which suits a tidy, minimal bathroom and avoids the eyesore of a visible brush. OXO has a strong reputation for well-engineered, durable household tools, and the ventilated tray that prevents water pooling addresses hygiene without adding gimmicks. At $19.97 it's a fair middle-ground price for a set I'd trust to last."
survey_toilet-brush-choice__2rXGyYv,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-44cf2cb7e82d.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,65-74,,North America,Middle,Woman,Retirement,,,Retired,"The OXO Good Grips Hideaway Compact set appeals to me because the canister keeps the brush completely out of sight, which feels tidier and more hygienic in a guest bathroom. The ventilated tray that prevents water pooling matters at my age, since I want to avoid standing water and odors, and the compact footprint suits the smaller bathroom in my home. At $19.97 it is a reasonable middle price from a brand I recognize and trust."
survey_toilet-brush-choice__33EGJGQ,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_stackoverflow-ec4544bd96a0.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,35-44,,North America,,,,,$100k-200k,Full-time,"I want a clean, minimal look with no visible brush when stored, and the OXO auto-open canister plus ventilated tray hits my hygiene and design priorities. At $19.97 it's a reasonable mid-range price from a brand I trust, and the compact footprint suits a small bathroom. Silicone sets look flimsy to me and 2-3 packs are more than I need."
survey_toilet-brush-choice__34L7ADK,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-98e2ee85e0dc.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,65+,Value-driven,North America,High income,Man,Retirement,Suburban,$200k+,Retired,"I have owned OXO Good Grips tools for years and their design discipline is reliable. The hideaway canister keeps the brush out of sight, which suits my bathroom's clean aesthetic, and the ventilated tray addresses the hygiene concern I care about most. The compact footprint is a practical match for my space."
survey_toilet-brush-choice__35EV59X,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_amazon-1819ca0f0556.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,,Value-driven,North America,,,,Suburban,,,"I want a clean, uncluttered look and a holder that doesn't pool water, and the OXO hideaway canister keeps the brush out of sight while its ventilated tray addresses hygiene. The brand has a solid reputation for durable everyday tools, and at $19.97 the price is reasonable for something I'll use regularly."
survey_toilet-brush-choice__38TLkx5,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_stackoverflow-82102ceafcd3.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,45-54,,North America,,,,,,Full-time,"I want a clean, minimal look where the brush is hidden when stored, and OXO's auto-open canister with a ventilated tray solves the standing-water problem that makes most holders gross. The compact footprint fits my bathroom, and OXO's build quality justifies the mid-range price without paying for a gimmick like tweezers or a 3-pack I don't need."
survey_toilet-brush-choice__39bopTt,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_stackoverflow-7ec261bab03c.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,25-34,,North America,,,Early career,,$200k+,Full-time,"The OXO Hideaway's auto-opening canister hides the brush entirely when stored, which keeps a small bathroom looking clean and avoids the visual clutter of an exposed brush. OXO is a brand I trust for well-engineered, durable household tools, and the ventilated tray addresses the hygiene issue of standing water in the base. At $19.97 it's a reasonable price for a design that solves the real problems I care about."
survey_toilet-brush-choice__3BUYa2T,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-7ee5e2e78771.yaml,1.0,jiga_3pack,JIGA 3-Pack,13.99,5,price,4,35-44,,North America,Middle,Man,,,,Full-time,"With three kids and multiple bathrooms, the JIGA 3-pack gives me a brush for each bathroom at a price that fits our budget. Stiff nylon bristles and non-slip handles are practical for everyday scrubbing, and having spares means I'm not running to the store when one wears out."
survey_toilet-brush-choice__3CoTGzW,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_amazon-22989014f116.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,45-54,Value-driven,North America,,,,Suburban,,Self-employed,"I value security and reliability, and OXO is a brand I trust for well-designed, durable household tools. The hideaway canister keeps the brush out of sight and the ventilated tray prevents water pooling, which fits my hygiene and tidiness standards. At $19.97 it's reasonably priced for a known-quality set."
survey_toilet-brush-choice__3JbGbpG,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-2bdbabdc94d3.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,,,North America,,Man,Mid-life,,,Retired,"I want a clean, uncluttered bathroom and the OXO hideaway canister keeps the brush out of sight while the ventilated tray stops water pooling — a hygiene detail I care about. The brand has a solid reputation for durable, well-designed tools, and at $19.97 it's a fair price for something I'll use daily."
survey_toilet-brush-choice__3RdFgTX,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-4cfd5ce106e4.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,65+,Value-driven,North America,Middle,Man,Retirement,Small town,null,Retired,"Je privilégie un ensemble compact et discret qui cache la brosse, ce qui convient à une petite salle de bain et à mon souci d'ordre. La marque OXO jouit d'une bonne réputation de fiabilité, et le couvercle à ouverture automatique avec plateau ventilé limite l'eau stagnante et les odeurs. À 19,97 $, le prix me semble raisonnable pour un produit durable et bien conçu."
survey_toilet-brush-choice__3SMPbXY,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-01d80eb3a936.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,75-84,Indifferent,North America,null,Woman,Retirement,null,null,null,"I want a hygienic, tidy solution and the OXO Hideaway's auto-opening canister keeps the brush completely out of sight while its ventilated tray prevents standing water — a real concern in a humid bathroom. OXO is a brand I trust for well-engineered, durable household tools, and at $19.97 the price is reasonable for that build quality."
survey_toilet-brush-choice__3U7ZHSE,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-da37e6a2436c.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,5,75+,Value-driven,North America,Middle,Man,Retirement,Suburban,Prefer not to say,Retired,"I want a covered, compact set that looks tidy and keeps the brush out of sight, and OXO's hideaway canister opens automatically when lifted while its ventilated tray keeps water from pooling. At $19.97 the price is reasonable for a well-built, hygienic design from a brand I trust."
survey_toilet-brush-choice__3ZHPgL2,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_stackoverflow-7ca9bcc0abb5.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,45-54,,North America,,,,,,Full-time,"I want a compact, covered set that hides the brush and doesn't pool water, and OXO's auto-open canister with ventilated tray does exactly that. The brand has a solid track record for functional home goods, and at $19.97 the price is reasonable for the design quality."
survey_toilet-brush-choice__3cD5UzX,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-35c3dfafa5c8.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,65+,,North America,High income,Man,Retirement,Small town,,Full-time,"I value a clean, uncluttered bathroom and a proven brand. The OXO Hideaway's auto-opening canister keeps the brush fully concealed and its ventilated tray prevents standing water, which matters more to me than saving a few dollars. At $19.97 it is a reasonable price for a well-designed, durable set."
survey_toilet-brush-choice__3cE4vXo,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-281f19596ee3.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,18-24,,North America,Lower-middle,Man,,,,Full-time,"I want something that looks clean and minimal in a small bathroom, and the hideaway canister means I'm not staring at a dirty brush. OXO is a brand I trust to actually hold up, and at under $20 it's a fair price for the quality."
survey_toilet-brush-choice__3cyCoZN,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-967571852f7f.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,65+,Value-driven,North America,Upper-middle,Man,Retirement,Suburban,null,Retired,"I want a compact, tidy set that hides the brush entirely when stored, and OXO's build quality and reputation for well-designed household tools give me confidence in its durability. The ventilated tray that prevents water pooling addresses the hygiene concern I care about most, and at $19.97 the price is reasonable for a single well-made set."
survey_toilet-brush-choice__3hwCWwq,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-f55e30cd7453.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,45-54,,North America,Upper-middle,Man,Mid-life,Suburban,$200k+,Self-employed,"The hideaway canister keeps the brush fully concealed, which matters in a guest-visible bathroom, and the ventilated tray solves the standing-water problem that makes most holders disgusting within a month. OXO's build quality and design consistency justify the ~$20 price over the cheaper silicone sets, and I don't need a 2- or 3-pack for a single bathroom."
survey_toilet-brush-choice__3rcTsmN,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_stackoverflow-647cf8d5366b.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,45-54,,North America,,,,,,Full-time,"I want a brush that disappears into a clean, minimal canister — the auto-open hideaway design keeps the bathroom looking tidy and prevents standing water, which matters more to me than saving a few dollars. OXO's build quality and ventilated tray make it the one set here I'd trust to last without fuss."
survey_toilet-brush-choice__3vbYVMG,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-56da4e7d1c30.yaml,1.0,jiga_3pack,JIGA 3-Pack,13.99,5,price,4,18-24,,North America,Lower-middle,Woman,,,,Part-time,"I have one bathroom and a kid, so brushes get gross fast and I like having spares on hand without spending much. Three sets for $13.99 is the best value here, and the covered white caddies will blend in fine with my bathroom."
survey_toilet-brush-choice__3wcD3Xb,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-8f99f2cd11cd.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,25-34,,North America,Lower-middle,Man,,,,Full-time,"The OXO Hideaway has a hideaway canister that keeps the brush out of sight and a ventilated tray so it dries instead of sitting in dirty water, which matters for hygiene in a small bathroom. At $19.97 it's a reasonable price for a trusted brand and a compact, clean-looking design."
survey_toilet-brush-choice__3xqb3ng,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-6789cf420fb6.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,65+,Value-driven,North America,High income,Man,Retirement,Small town,null,Retired,"I value well-engineered products from brands with a proven reputation, and OXO's hideaway design keeps the brush completely out of sight while the ventilated tray prevents standing water — a genuine hygiene improvement. The compact footprint suits a tidy, well-appointed bathroom, and the price is reasonable for the build quality."
survey_toilet-brush-choice__42whvpF,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-d87a9b0bead2.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,65-74,Value-driven,North America,High income,Man,Retirement,Suburban,$200k+,Self-employed,"I value a clean, uncluttered bathroom and the OXO Hideaway's auto-open canister keeps the brush fully concealed while ventilating the tray to prevent water pooling. OXO is a brand I trust for durable, well-engineered household tools, and the compact footprint suits my space."
survey_toilet-brush-choice__43FJwX7,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-c0b265c77359.yaml,1.0,nacena_long,nacena 2-Pack Long Handle,23.5,4,cleaning,4,,Cost-sensitive,North America,,Man,Early career,,,,"The extra-long handle is a real practical win for me since I want to clean without bending or getting close to the bowl, and the covered matte black bases look clean and minimal. The 2-pack at $23.50 is solid value — one for each bathroom, no fuss."
survey_toilet-brush-choice__44EEsCw,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-7d539ac100b7.yaml,1.0,jiga_3pack,JIGA 3-Pack,13.99,5,price,4,45-54,,North America,Middle,Man,,,,,"With three bathrooms and kids in the house, I need multiple brushes and I'm not paying a premium for a single one. The JIGA 3-pack gives me stiff nylon bristles and covered caddies for $13.99, which is the best value on the shelf. I don't need silicone gimmicks or auto-open canisters to scrub a toilet."
survey_toilet-brush-choice__44ebPqJ,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-778f00dd5c67.yaml,1.0,clorox_under_rim,Clorox Corner Under-Rim,15.5,4,cleaning,3,65-74,,North America,Middle,Woman,,,,Homemaker,"I want something simple and dependable that gets the job done without spending much. Clorox is a name I trust for cleaning, and the under-rim scrubber helps with the hard-to-reach spots. The corner caddy and price of $15.50 suit my small bathroom and budget."
survey_toilet-brush-choice__47WNrke,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-0bba6902aad3.yaml,1.0,jiga_3pack,JIGA 3-Pack,13.99,5,price,4,35-44,,North America,Middle,Man,,,,Full-time,"With three kids and multiple bathrooms, a 3-pack of sturdy brushes for only $13.99 is the best value here and means I can put one in each bathroom without spending much. The stiff nylon bristles and non-slip handles cover the basics I need, and the price fits a middle-income family budget."
survey_toilet-brush-choice__4AQGYDH,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-77a012f6dd8c.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,5,hygiene,4,65+,Value-driven,North America,High income,Woman,Retirement,Dense urban,$100k-200k,Self-employed,"I want a discreet, well-engineered set for a guest-visible bathroom: the hideaway canister conceals the brush entirely and its ventilated tray prevents the stagnant water and odor that plague open holders. OXO's reputation for durable, thoughtfully designed household tools justifies the modest premium over the cheapest silicone options, and its compact footprint suits my space."
survey_toilet-brush-choice__4EpWZwS,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-1fa691b537bc.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,design,4,45-54,Value-driven,North America,Upper-middle,Woman,Mid-life,Small town,null,Self-employed,"I value order and aesthetics in my home, and the OXO's hideaway canister means no visible brush, which suits a clean, minimal bathroom. The auto-opening ventilated design addresses hygiene without the fussiness of silicone nub heads, and at $19.97 the price is reasonable for a well-designed, durable set."
survey_toilet-brush-choice__4HZgyjc,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-bb1a9b04974a.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,65+,Indifferent,North America,Lower-middle,Woman,Mid-life,Rural,,,"I live alone in a small rural house and I am not as steady on my feet as I once was, so a compact set that hides the brush away and opens automatically when lifted suits me well. The ventilated tray keeps water from pooling, which matters to me for hygiene, and at $19.97 the price is within what I can reasonably spend on a household necessity."
survey_toilet-brush-choice__4JFjcaa,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-94619e14954e.yaml,1.0,jiga_3pack,JIGA 3-Pack,13.99,5,price,4,35-44,,North America,,Man,,,,Full-time,"With three kids and three bathrooms, I need a brush in every bathroom and I don't want to spend much. The JIGA 3-pack gives me three complete sets with stiff nylon bristles for only $13.99, which is the best value on the shelf. The white look is plain but it blends into any bathroom."
survey_toilet-brush-choice__4Lkg5z4,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-765ae9b08ab9.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,18-24,,North America,Middle,Woman,,,,Part-time,"I want something compact and tidy for my small bathroom, and the OXO Hideaway keeps the brush completely out of sight while the ventilated tray stops water from pooling. The brand is familiar and the price feels fair for a set that will actually last."
survey_toilet-brush-choice__4MfB8Yr,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-6d530eceb990.yaml,1.0,jiga_3pack,JIGA 3-Pack,13.99,5,price,4,35-44,,North America,Lower-middle,Woman,,,,Full-time,"With three kids and multiple bathrooms, a 3-pack for $13.99 is the best value on this shelf — I get a set for each bathroom without spending much. Stiff nylon bristles and a covered caddy are exactly what I need; I don't care about fancy finishes or silicone gimmicks."
survey_toilet-brush-choice__4RAZcLt,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_amazon-5ecdce4bafed.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,,,North America,,Woman,Parent of young kids,,,Full-time,"With three young kids and a busy bathroom, I want something that stays tidy and doesn't show a dripping brush — the hideaway canister that opens automatically and has a ventilated tray solves that. OXO is a brand I trust, and at $19.97 the compact, minimal look fits my bathroom without being fussy."
