arm,persona_id,choice,rationale,reward,chosen_price,chosen_brand,chosen_rating,chosen_reviews,gt_rank,gt_monthly_sales,gt_monthly_revenue,q_factor_most,q_factor_second,q_material_pref,q_format_pref,q_pack_pref,q_badge_effect,q_switch_trigger,q_price_acceptance,q_purchase_intent,q_importance_price,q_importance_function,q_importance_appearance,q_importance_hygiene,q_importance_reviews,q_importance_brand,q_refill_acceptance
anon-rating,persona_amazon-295c98fa1de3,P07,"I want a single, tidy set for one bathroom and I value hygiene — the automatic canister door keeps the brush hidden and the holder compact for a small bathroom. It also has a strong 4.7★ rating with over 18,000 reviews, so I trust it more than cheaper no-name options.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,yes_somewhat,better_function,4,4,4,4,3,5,4,2,3
anon-rating,persona_amazon-3873a502feb5,P07,"I want a hygienic, tidy set that keeps the brush hidden and dries well, and the automatic canister door is exactly the kind of low-effort, clean solution I value. It also has a very high rating with a large number of reviews, which makes it feel like a safe, reliable buy at a reasonable price.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,holder,nylon_bristles,single_brush_set,single,yes_somewhat,better_function,4,4,4,4,4,5,5,3,2
anon-rating,persona_amazon-e3023694a7ad,P07,"I want a clean, compact single brush set with a holder that hides the brush head, and the automatic canister door plus 4.7-star rating with over 18,000 reviews makes it feel reliable. At $19.90 it's a reasonable mid-range price for something I'll use weekly.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,yes_somewhat,nothing,4,4,4,4,4,5,5,3,3
anon-rating,persona_amazon-03e0f54119ac,P07,"With three-plus kids, I want a brush that stays out of sight and dries without looking gross, and the automatic canister door plus compact white design fits a busy family bathroom. The 4.7★ rating across 18,325 reviews gives me confidence it actually holds up, and $19.90 is reasonable for something used daily.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,neutral,better_look,4,4,4,4,4,5,5,2,3
anon-rating,persona_amazon-3833d2fef1f9,P07,"I want a simple single brush set that stays tidy and hidden, and the automatic canister door keeps the brush out of sight and covered. It has a strong 4.7 rating with over 18,000 reviews, which feels reliable, and $19.90 is a fair price for something I'll use daily.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,neutral,better_rating,4,4,4,4,3,5,4,2,2
anon-rating,persona_amazon-190324b045ff,P07,"I want a single, tidy brush set for my own bathroom, and the automatic canister door keeps things looking neat while hiding the brush head. The 4.7-star rating across 18,000+ reviews gives me confidence it will hold up, and the compact white design fits my bathroom.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,neutral,nothing,4,4,4,4,4,5,4,2,2
anon-rating,persona_amazon-34e1a70694bb,P07,"I want a compact, clean-looking set that hides the brush and dries fast, and the automatic canister door is a genuinely useful touch for a daily-driver bathroom. With 18,325 reviews at 4.7 stars, it's also one of the most proven options on the shelf.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,yes_somewhat,better_function,4,4,4,4,4,5,4,2,3
anon-rating,persona_amazon-1c9172894a75,P12,"I want a brush-plus-plunger combo since I don't currently own a plunger, and the ventilated holder should keep things dry and hygienic. The 4.7-star rating with solid review volume gives me confidence it will hold up, and $15.29 is a fair price for two tools in one.",1.0,15.29,LOVLOY,4.7,1475,12,9882.0,159952.27,function_combo,hygiene,nylon_bristles,brush_plunger_combo,single,yes_somewhat,better_function,5,4,4,5,3,5,5,3,2
anon-rating,persona_amazon-49dd5c35405d,P07,"I want a clean, compact set that looks tidy in a modern bathroom, and the automatic canister door keeps the brush hidden and hygienic. It has a very strong 4.7★ rating with over 18,000 reviews, so I trust it to hold up well.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,design,nylon_bristles,single_brush_set,single,yes_somewhat,better_function,4,4,4,4,4,5,4,2,2
anon-rating,persona_amazon-8f67ca1ebaaf,P07,"As a nurse with a chronic illness, I value hygiene and ease of use — the automatic canister door keeps the brush hidden and hands clean without touching anything. It's a solid mid-range price with an excellent 4.7★ rating across 18,000+ reviews, which gives me confidence it actually works.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,yes_somewhat,nothing,4,4,4,4,3,5,5,3,3
anon-rating,persona_amazon-6494c48d5979,P01,"No persona-specific answer was produced, so a neutral answer was used.",1.0,8.99,Clorox,4.6,5865,1,40482.0,369195.84,price_value,price_value,silicone,single_brush_set,single,yes_strongly,lower_price,3,3,3,3,3,3,3,3,3
anon-rating,persona_amazon-5b49516299f3,P07,"I want a simple single brush set with a covered holder that keeps things tidy and dries out, and the automatic canister door means I don't have to fuss with a lid. The 4.7-star rating across 18,000+ reviews gives me confidence it holds up, and at under $20 it's a fair price for something I'll use daily.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,reviews,hygiene,nylon_bristles,single_brush_set,single,neutral,better_rating,4,4,4,4,3,5,5,2,2
anon-rating,persona_amazon-ef6d6986cd8c,P01,"It's cheap at $8.99 and the corner caddy saves space in my small bathroom, which matters to me. The under-rim scrubber and antibacterial bristles are a nice bonus, and the 4.6 stars with nearly 6,000 reviews makes it feel like a safe bet.",1.0,8.99,Clorox,4.6,5865,1,40482.0,369195.84,price_value,cleaning,nylon_bristles,single_brush_set,single,neutral,lower_price,5,4,5,4,2,4,4,2,2
anon-rating,persona_amazon-5ecdce4bafed,P07,"With three young kids and a busy household, I want a hygienic set that keeps things tidy without fuss. The self-closing canister door hides the brush head, the compact footprint suits my bathroom, and its 4.7★ rating across 18,000+ reviews gives me confidence it will hold up.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,design,nylon_bristles,single_brush_set,single,yes_somewhat,better_function,4,4,4,4,4,5,4,3,3
anon-rating,persona_amazon-3a9105071529,P07,"I want a single, tidy set that hides the brush and dries without looking gross, and the automatic canister door does that in a compact footprint. The 4.7★ rating across 18k+ reviews makes it the safest pick at a reasonable $19.90.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,yes_somewhat,better_rating,4,4,4,4,4,5,4,2,3
anon-rating,persona_amazon-de1220874c05,P07,"The automatic canister door keeps the brush hidden and the holder closed, which fits my preference for a hygienic, tidy bathroom, and the compact white design looks clean and blends in. It also has a strong 4.7-star rating from over 18,000 reviews, so I trust it to perform reliably without spending too much.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,yes_somewhat,better_function,4,4,4,4,4,5,4,2,3
anon-rating,persona_amazon-08b5df974f2e,P07,"I want a simple single brush set that stays clean and out of the way, and the automatic canister door keeps the brush hidden and the bathroom looking tidy. It has a strong 4.7 rating with over 18,000 reviews at a reasonable $19.90, so it feels like a reliable everyday pick.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,yes_somewhat,better_rating,4,4,4,4,3,5,5,3,2
anon-rating,persona_amazon-cf36aaf027e3,P07,"I want a compact, clean-looking set that hides the brush and keeps things tidy, and the automatic canister door plus non-slip handle fits a small bathroom well. The 4.7-star rating with over 18,000 reviews gives me confidence that it's reliable and well-liked.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,design,reviews,nylon_bristles,single_brush_set,single,yes_somewhat,better_look,4,4,4,4,5,4,4,3,3
anon-rating,persona_amazon-d27a1ab68cc5,P07,"I want a simple single brush set with a covered holder that keeps things tidy, and this one has a 4.7 rating with over 18,000 reviews, which feels reliable. The automatic canister door and compact size suit my bathroom without clutter, and the price is reasonable for the quality.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,yes_somewhat,better_rating,4,4,4,4,3,5,5,3,3
anon-rating,persona_amazon-e4b2af6f2926,P01,"I want a single, inexpensive set that solves a real problem — the dedicated under-rim scrubber head reaches the spot that's hardest to clean, which is the whole reason I'm replacing my old brush. The 4.6★ rating across nearly 6,000 reviews gives me confidence, and the corner caddy keeps it out of the way in a small bathroom.",1.0,8.99,Clorox,4.6,5865,1,40482.0,369195.84,cleaning,reviews,nylon_bristles,single_brush_set,single,yes_somewhat,better_function,5,4,4,5,3,4,5,3,2
anon-rating,persona_amazon-f7c151b3f085,P01,"At $8.99 it's the best value on the shelf with a 4.6★ rating from nearly 6,000 reviews, and the corner caddy plus dedicated under-rim scrubber head speaks to real cleaning function. As an electrician I appreciate practical, well-designed tools that solve a specific problem without overpaying.",1.0,8.99,Clorox,4.6,5865,1,40482.0,369195.84,price_value,cleaning,nylon_bristles,single_brush_set,single,yes_somewhat,nothing,5,4,5,4,3,4,4,2,2
anon-rating,persona_amazon-feac81952ec6,P07,"At my age I want something tidy and effortless, and the white compact canister with the self-opening door hides the brush neatly while keeping the bathroom looking clean. It has an excellent 4.7★ rating from over 18,000 reviews, so I trust it will hold up, and the price is reasonable for the quality.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,yes_somewhat,nothing,4,4,4,4,4,5,4,2,2
anon-rating,persona_amazon-269de6f96ede,P07,"I want a single, compact set with a covered canister so the brush is hidden and the holder stays tidy — the automatic canister door is a nice touch for one-handed use, which matters given my motor needs. It has a strong 4.7★ rating from over 18,000 reviews, so I trust it more than the low-review options.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,neutral,better_function,4,4,4,4,3,5,5,2,2
anon-rating,persona_amazon-16e8d67e5128,P07,"I want a single, tidy set for one bathroom, and this one has the strongest combination of a covered canister that hides the brush (better hygiene and looks) plus a very high rating with over 18,000 reviews. The automatic canister door and compact footprint suit my suburban bathroom, and at $19.90 the price is reasonable for the quality.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,holder,nylon_bristles,single_brush_set,single,yes_somewhat,better_rating,4,4,4,4,4,5,5,3,2
anon-rating,persona_amazon-e0caed8603ae,P01,"I want a single, space-saving set that actually cleans under the rim, and the dedicated under-rim scrubber plus corner caddy at $8.99 fits my bathroom without clutter. The 4.6-star rating across nearly 6,000 reviews makes it feel like a reliable, low-risk pick.",1.0,8.99,Clorox,4.6,5865,1,40482.0,369195.84,cleaning,price_value,nylon_bristles,single_brush_set,single,neutral,better_function,5,4,4,5,4,4,4,2,2
anon-rating,persona_amazon-67694592e84f,P03,"I want a single, reliable set that handles both routine brushing and the occasional clog, and the brush + plunger combo in matte black looks tidy in the corner. With 78,000+ reviews at 4.4 stars and a heavy-duty rubber plunger, it's the safest bet I can actually buy without gambling on a barely-reviewed product.",1.0,23.99,MR.SIGA,4.4,78059,3,25415.0,574115.9,reviews,function_combo,nylon_bristles,brush_plunger_combo,single,neutral,nothing,4,4,4,4,3,3,5,2,2
anon-rating,persona_amazon-cf6170e888a9,P01,"I want a simple, low-cost single brush set that cleans well and stores neatly in a small rural bathroom. The corner caddy saves space, the under-rim scrubber helps with deep cleaning, and 4.6 stars across nearly 6,000 reviews makes it feel like a safe, reliable pick.",1.0,8.99,Clorox,4.6,5865,1,40482.0,369195.84,cleaning,price_value,nylon_bristles,single_brush_set,single,yes_somewhat,better_rating,5,4,5,5,3,4,5,3,2
anon-rating,persona_amazon-a1afb6730fc0,P03,"With three kids and a busy rural household, I want one sturdy set that handles both brushing and the occasional clog without hunting for a separate plunger. The matte black combo has a huge review count (78k) at 4.4 stars, so I trust it will hold up, and $23.99 is reasonable for a heavy-duty 2-in-1.",1.0,23.99,MR.SIGA,4.4,78059,3,25415.0,574115.9,function_combo,reviews,nylon_bristles,brush_plunger_combo,single,yes_somewhat,better_function,4,4,4,5,3,4,5,2,2
anon-rating,persona_amazon-a94b9d4adf94,P07,"I want a single, tidy set for my one bathroom, and the automatic canister door keeps things looking clean while the compact size fits a tight city bathroom. The 4.7★ rating across 18,325 reviews makes it the most reliable pick at a reasonable $19.90.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,neutral,better_function,4,4,4,4,4,5,4,2,2
anon-rating,persona_amazon-5a4b71d502a1,P07,"I like that the canister door opens automatically when you lift the brush, so I never have to touch a dirty lid. It's compact for my bathroom, has a great 4.7 rating with over 18,000 reviews, and the price is reasonable for something I'll use every week.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,yes_somewhat,better_function,4,4,4,4,3,5,4,2,3
anon-rating,persona_amazon-2293082139ff,P07,"The compact canister with an automatic self-opening door keeps the brush fully hidden and tidy, which suits my suburban bathroom without taking up space. It has a strong 4.7 rating across more than 18,000 reviews, and the $19.90 price is reasonable for something that looks clean and stays hygienic.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,neutral,better_function,4,4,4,4,4,5,4,2,3
anon-rating,persona_amazon-ccdced3f513a,P07,"I want a single, tidy brush and holder set for my own bathroom, and the compact canister with the automatic self-closing door keeps things hygienic and out of sight without a plunger combo I don't need. The 4.7★ rating across 18,000+ reviews gives me confidence it holds up, and at $19.90 it's a fair price for something I'll use every week.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,silicone,single_brush_set,single,neutral,better_function,4,4,4,4,4,5,4,2,3
anon-rating,persona_amazon-0e2df90d57b9,P03,"I want one solid set that handles both everyday scrubbing and the occasional clog, and the matte-black combo looks tidy next to our fixtures. With 78,000+ reviews at 4.4 stars, it's clearly a proven design and the price is fair for a heavy-duty 2-in-1.",1.0,23.99,MR.SIGA,4.4,78059,3,25415.0,574115.9,function_combo,reviews,nylon_bristles,brush_plunger_combo,single,yes_somewhat,better_function,4,4,4,5,3,4,5,3,3
anon-rating,persona_amazon-93f49af46bac,P07,"I want a single, compact brush with a covered canister so it stays tidy and dries without looking messy in my bathroom. The automatic canister door and strong 4.7-star rating with 18,000+ reviews make it the most reliable, low-fuss pick for the price.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,holder,nylon_bristles,single_brush_set,single,neutral,better_function,4,4,4,4,4,5,4,2,3
anon-rating,persona_amazon-6c65644831b8,P07,"The compact canister with the automatic door keeps the brush hidden and the bathroom looking tidy, which matters with two kids sharing a bathroom. It has a strong 4.7★ rating across 18,325 reviews, so I trust it to hold up, and the non-slip handle is a nice practical touch at a fair price.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,yes_somewhat,better_function,4,4,4,4,4,5,5,3,3
anon-rating,persona_amazon-163e87d6a0f7,P07,"I want a single, tidy set with a covered canister so the brush head stays hidden and the bathroom looks clean — the automatic door is a nice touch. With a 4.7★ rating from over 18,000 reviews, it feels like a safe, well-proven pick at a reasonable price.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,yes_somewhat,better_function,4,4,4,4,3,5,5,3,2
anon-rating,persona_amazon-991ad53f90ce,P01,"I want a practical, space-saving set that cleans well without overspending. P01's corner caddy fits a small bathroom, the under-rim scrubber and antibacterial bristles add real cleaning value, and at $8.99 with a 4.6-star rating from nearly 6,000 reviews it feels like a reliable, well-priced pick.",1.0,8.99,Clorox,4.6,5865,1,40482.0,369195.84,price_value,cleaning,nylon_bristles,single_brush_set,single,neutral,lower_price,5,4,5,4,2,4,4,2,3
anon-rating,persona_amazon-995e77cdacb2,P01,"It solves the two things I care about most: the under-rim scrubber and corner caddy get into the spots a standard round brush misses, and the antibacterial nylon bristles with a non-slip grip are practical rather than gimmicky. At $8.99 with a 4.6 rating from nearly 6,000 reviewers, it's a low-risk, high-value pick that fits a normal bathroom.",1.0,8.99,Clorox,4.6,5865,1,40482.0,369195.84,cleaning,price_value,nylon_bristles,single_brush_set,single,neutral,better_function,5,4,4,5,3,4,4,2,2
anon-rating,persona_amazon-7304ee817795,P07,"I want a single, tidy set for my one rental bathroom, and the automatic canister door is the detail that sold me — the brush stays fully hidden and the bristles dry without me touching anything gross, which matters in a small shared bathroom. It has a 4.7★ rating across 18,325 reviews, so I'm not gambling on an unknown product, and $19.90 is very reasonable for something I'll use every week.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,yes_somewhat,better_function,5,4,4,4,4,5,4,2,2
anon-rating,persona_amazon-e2b1c1a904bd,P01,"Corner caddy saves space and the under-rim scrubber actually gets at the hard-to-reach spots. Price is right at $8.99 and 5,865 reviews at 4.6 stars gives me confidence it holds up.",1.0,8.99,Clorox,4.6,5865,1,40482.0,369195.84,cleaning,price_value,nylon_bristles,single_brush_set,single,neutral,better_function,5,4,4,5,3,4,4,2,2
anon-rating,persona_amazon-1cc8dd108989,P07,"I want a single, compact set that hides the brush and dries fast, and this one has a canister door that opens automatically so I'm not touching a wet brush. It also has the strongest review base of the compact options (4.7★, 18,325 reviews), which matters to me since I verify before buying. The $19.90 price is reasonable for something I'll use daily for years.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,neutral,better_rating,4,4,3,4,3,5,5,2,2
anon-rating,persona_amazon-017df599966b,P07,"It's a clean, compact white design that fits a small bathroom, and the automatic canister door keeps the brush hidden and hygienic with minimal fuss. The 4.7★ rating across 18,325 reviews gives me confidence in its durability and everyday performance.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,design,nylon_bristles,single_brush_set,single,neutral,better_function,4,4,4,4,5,5,4,2,2
anon-rating,persona_amazon-844eb3b79c56,P01,"I want a simple, affordable single brush with a holder that tucks into the corner and has a dedicated under-rim scrubber for real cleaning. With a 4.6 rating from nearly 6,000 reviews at $8.99, it hits the sweet spot of value and reliability without paying for a plunger combo I don't need.",1.0,8.99,Clorox,4.6,5865,1,40482.0,369195.84,price_value,cleaning,nylon_bristles,single_brush_set,single,yes_somewhat,better_function,5,4,5,4,3,3,4,2,2
anon-rating,persona_amazon-261a874fcd84,P07,"I want a simple single brush with a covered holder that hides the head and looks tidy in the bathroom. The automatic canister door is a clever touch, the compact size suits my space, and 18,000+ reviews at 4.7 stars gives me confidence it holds up.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,neutral,nothing,4,4,4,4,3,5,4,2,2
anon-rating,persona_amazon-60b5285ce130,P06,"The S-shaped bristles reach under the rim and into dead corners, which is exactly the kind of cleaning performance I care about, and the openwork base dries fast so it stays hygienic. At $12.73 with a solid 4.6★ from 2,620 reviews, it feels like a smart, well-liked value pick without paying for a combo I don't need.",1.0,12.73,HAMITOR,4.6,2620,6,15311.0,207524.3,cleaning,hygiene,nylon_bristles,single_brush_set,single,yes_somewhat,better_function,5,4,4,5,4,5,4,2,3
anon-rating,persona_amazon-4a889e0d72ad,P07,"I want a single, tidy set for my own bathroom, and the compact white canister with the automatic self-opening door keeps the brush hidden and looks clean and minimal — which matters to me aesthetically. It also has a very high rating (4.7★) with 18,325 reviews, so I trust it will hold up, and the covered canister keeps things hygienic.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,design,hygiene,nylon_bristles,single_brush_set,single,neutral,better_look,4,4,3,4,5,4,4,2,2
anon-rating,persona_amazon-f800fbae87c3,P07,"I want a single, tidy set for my two-person household, and P07's automatic canister door keeps the brush hidden and the holder cleaner between uses. It has a strong 4.7★ rating from over 18,000 reviews, which reassures a cautious buyer like me, and the compact white design fits a small bathroom without looking cluttered.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,neutral,better_function,4,4,4,4,4,5,4,2,2
anon-rating,persona_amazon-064893484654,P01,"I want a single, affordable set that actually cleans well, and this one has a dedicated under-rim scrubber plus antibacterial bristles for under $9. The corner caddy saves space in my kids' bathroom, and the 4.6-star rating with nearly 6,000 reviews makes it feel reliable rather than a gamble.",1.0,8.99,Clorox,4.6,5865,1,40482.0,369195.84,cleaning,price_value,nylon_bristles,single_brush_set,single,yes_somewhat,better_rating,5,5,4,5,2,4,5,2,2
anon-rating,persona_amazon-3a00975867f2,P07,"I want a single, tidy set for one bathroom rather than a multi-pack, and the automatic canister door keeps the brush hidden and the bathroom looking clean while letting it dry. It has a 4.7-star rating with 18,325 reviews, so I trust the quality, and $19.90 is reasonable for a compact, non-slip design that fits a small bathroom.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,yes_somewhat,better_rating,4,4,4,4,4,5,4,2,3
anon-rating,persona_amazon-b6401eb80923,P07,"I want a simple, tidy single brush set that hides the brush away and dries cleanly, and the automatic canister door plus compact white design suits my bathroom without fuss. The 4.7-star rating across 18,000+ reviews gives me confidence it will hold up, and the price is reasonable for the quality.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,yes_somewhat,nothing,4,4,4,4,3,5,4,2,2
anon-rating,persona_amazon-54d469712b69,P07,"I want a single, tidy set for my bathroom and the automatic canister door makes it look clean and keeps the brush hidden, which suits my taste. It has a very high rating with tons of reviews, so I trust it will hold up.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,neutral,better_function,4,4,4,4,4,5,4,2,2
anon-rating,persona_amazon-d0e6ab241010,P06,"The S-shaped bristles reach under the rim and into dead corners, which matters most for actually cleaning the toilet, and the openwork base dries fast to keep things hygienic. At $12.73 with a solid 4.6★ from 2,620 reviews, it's a sensible, well-reviewed single set that fits a normal bathroom without overpaying.",1.0,12.73,HAMITOR,4.6,2620,6,15311.0,207524.3,cleaning,hygiene,nylon_bristles,single_brush_set,single,neutral,better_function,5,4,4,5,3,5,4,2,2
anon-rating,persona_amazon-87950ace18de,P07,"The automatic canister door keeps the brush hidden and the holder looks clean, which matters for a bathroom I actually look at. It has a 4.7 rating across 18,325 reviews, so the reliability signal is strong, and the price is reasonable for a compact, well-reviewed single set.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,reviews,hygiene,nylon_bristles,single_brush_set,single,yes_somewhat,better_function,4,4,4,4,4,5,5,3,2
anon-rating,persona_amazon-d72fbcc47a7c,P07,"I want one reliable set for my main bathroom, and the automatic canister door keeps the brush hidden and hands off the bristles, which matters with kids in the house. It has a strong 4.7 rating across 18,325 reviews, a compact footprint for a small bathroom, and the $19.90 price is reasonable for the hygiene and design.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,neutral,better_function,4,4,4,4,3,5,4,2,2
