trial,persona_path,reward,choice,choice_label,price,price_threshold,feature_priority,purchase_likelihood,age_bracket,economic_motivation,region,socioeconomic_band,gender_identity,life_stage,income,employment,rationale
survey_water-bottle-choice__2Q3y4FR,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_wiki-b4e5e1ccac4b.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,5,insulation,4,45-54,Indifferent,Eastern Europe,Upper-middle,Man,Mid-life,null,Full-time,"Как практик и ветеран, я ценю надёжность и инженерное качество за разумные деньги. Beijixiong 316 даёт лучшую изоляцию и цельную внутреннюю колбу из 316/316L в среднем ценовом сегменте — оптимальный баланс прочности, теплоудержания и цены. Платить ¥319 за вирусный Stanley ради объёма и ручки мне незачем, а дешёвый ¥39.9 вариант слишком базовый для ежедневной эксплуатации."
survey_water-bottle-choice__2Z4SCVB,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-2082192af8d9.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,price,4,45-54,Value-driven,Latin America,High income,Woman,Mid-life,$50k-100k,Full-time,"I want real insulation and a 316 liner without paying premium prices, and the 600 ml size covers my daily commute and desk use. The ¥129 mid-tier hits the sweet spot between the too-basic ¥39.9 bottle and the overpriced viral Stanley."
survey_water-bottle-choice__2e7cWxg,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-92dc275b7e6e.yaml,1.0,fuguang_316,富光 316 保温杯,39.9,5,price,4,55-64,Cost-sensitive,East Asia,Lower-middle,Man,Career change,<$25k,Self-employed,我预算紧，家里五口人开销大，39块9买个316不锈钢的保温瓶最实在。基本保温、密封可靠、耐摔耐用，日常喝水够用了，没必要为牌子多花好几倍的钱。
survey_water-bottle-choice__2kX3mVZ,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-8ea280bfd994.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,insulation,4,65-74,Cost-sensitive,South Asia,Lower-middle,Woman,Retirement,$100k-200k,Retired,"আমি নিজে প্রতিদিন গরম চা আর ঠান্ডা জল দুটোই বহন করি, তাই ইনসুলেশন আমার কাছে সবচেয়ে জরুরি — ন্যালজিনের প্লাস্টিক বোতল তাপ ধরে না। ৬০০ মিলি আমার সারাদিনের চাহিদার জন্য ঠিক, আর ¥১২৯ দামে ৩১৬/৩১৬এল ইনসুলেশন পাওয়াটা যুক্তিসঙ্গত — জোজিরুশি বা স্ট্যানলির দাম আমার পেনশনের বাজেটে অতিরিক্ত।"
survey_water-bottle-choice__2nDQZ3U,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_wiki-e1e864b5011a.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,5,insulation,5,35-44,Premium-seeking,Oceania,Upper-middle,Man,Retirement,null,Retired,"At ¥129 it delivers genuine 316/316L stainless steel with tail-less vacuum and triple heat blocking — the best performance-per-yuan on the shelf. The 600 ml capacity is right for daily use, and the ¥39.9 option is too basic while the premium brands charge nearly double for comparable insulation."
survey_water-bottle-choice__2nK9jZw,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-d5575c575cdb.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,insulation,4,18-24,Cost-sensitive,Sub-Saharan Africa,Upper-middle,Woman,Student,<$25k,Student,"Preciso de um produto durável e que conserve a temperatura, e o Beijixiong oferece 316/316L com isolamento triplo a um preço médio justo (¥129). Como estudante com orçamento apertado, não posso pagar o Zojirushi nem o Stanley, mas também não confio num modelo básico tão barato para uso diário. Este é o melhor equilíbrio entre qualidade, capacidade de 600 ml e custo acessível."
survey_water-bottle-choice__2q7a3Wj,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_wiki-5c801ca8bd21.yaml,1.0,zojirushi_sm_sz,象印 SM-SZ,229.0,4,insulation,5,55-64,Value-driven,South Asia,Upper-middle,Woman,Mid-life,null,Self-employed,"I want a bottle I can carry daily without fuss, and the Zojirushi's 480 ml size suits my handbag and commute. Its top-tier insulation and non-stick interior coating are worth the premium for me, since I value easy cleaning and reliable temperature retention. The lightweight build also makes it comfortable for my yoga and travel routines."
survey_water-bottle-choice__2qa4Vfo,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_wiki-4673cc7039a0.yaml,1.0,zojirushi_sm_sz,象印 SM-SZ,229.0,4,brand,5,85+,Value-driven,Latin America,High income,Man,Retirement,$200k+,Self-employed,"Na minha idade, priorizo qualidade e durabilidade acima de tudo, e a Zojirushi tem reputação japonesa de excelência em isolamento térmico. O revestimento interno antiaderente facilita muito a limpeza diária, e o tamanho de 480 ml é prático para levar comigo durante meu voluntariado e compromissos. O preço mais alto se justifica por um produto que vai me acompanhar por muitos anos."
survey_water-bottle-choice__2skMdYN,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-0bac583ab62d.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,insulation,4,18-24,Value-driven,South Asia,Lower-middle,Woman,Early career,$200k+,Part-time,"I want real insulation for daily tea and water, but I'm on a tight budget and can't justify paying ¥179-¥319 for a bottle. The Beijixiong at ¥129 gives me the 316/316L liner and triple heat blocking that the ¥39.9 basic bottle can't match, without the premium markup of the Mijia or Zojirushi. It's the sweet spot where the quality actually shows up in the specs, not just the logo."
survey_water-bottle-choice__2vbkrAY,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-e016a7810937.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,insulation,4,25-34,Value-driven,Sub-Saharan Africa,Low income,Man,Mid-life,$25k-50k,Full-time,"Nataka chupa ya kudumu inayohifadhi joto na baridi kwa siku nzima, na 316/316L stainless steel ya Beijixiong inatoa ubora wa hali ya juu kwa bei ya kati ya ¥129 ambayo inaingia kwenye bajeti yangu. Pia ni rahisi kusafisha na inatosha kwa matumizi ya kila siku."
survey_water-bottle-choice__2xuYKU2,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-cddebc324487.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,price,4,18-24,Indifferent,Sub-Saharan Africa,Middle,Woman,Early career,<$25k,Full-time,"I want insulated so my tea stays hot on cold mornings, and 316/316L steel at ¥129 is the best deal on the shelf. The Fuguang is cheaper but only basic spec, and the Stanley or Zojirushi prices feel like paying for a name I don't need."
survey_water-bottle-choice__2ytTjKL,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_wiki-96bfde84be21.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,5,insulation,4,75-84,Premium-seeking,North America,High income,Man,Retirement,$200k+,Retired,"I want a genuinely insulated bottle for daily use, and this one gives me 316/316L stainless steel and triple heat blocking at the ¥100 tier — the best spec-per-yuan on the shelf. The Fuguang is cheaper but only basic insulation, and the Zojirushi and Stanley prices are paying for brand and lifestyle, not performance I need."
survey_water-bottle-choice__33aMx4V,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-fe8e8091fe8d.yaml,1.0,fuguang_316,富光 316 保温杯,39.9,5,price,5,35-44,Cost-sensitive,Southeast Asia,Low income,Woman,Parent of young kids,<$25k,Homemaker,作为一个靠固定预算养三个孩子的家庭主妇，我首先看价格，39.9元买一个316不锈钢保温瓶几乎不需要犹豫。它容量500毫升够我日常用，密封可靠、耐用，我不需要为了品牌或外观多花三四倍的钱。其他几款要么太贵，要么是塑料不保温的大容量瓶，不符合我的实际需求。
survey_water-bottle-choice__38swsYZ,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-619de0b18617.yaml,1.0,fuguang_316,富光 316 保温杯,39.9,5,price,4,35-44,Value-driven,East Asia,Low income,Woman,Parent of young kids,$50k-100k,Full-time,我一家五口租房住，钱要省着花，日常喝水不需要花哨功能。这个国产基础款保温瓶才39.9元，316不锈钢、密封可靠、耐用又便宜，坏了丢了也不心疼，正好符合我的预算和实用需求。
survey_water-bottle-choice__3MfxihQ,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-c94c0a4b48ff.yaml,1.0,fuguang_316,富光 316 保温杯,39.9,5,price,4,18-24,Cost-sensitive,Sub-Saharan Africa,Low income,Woman,Career change,$50k-100k,Student,"I'm on a tight student budget and I don't need anything fancy, so the ¥39.9 Fuguang keeps things simple and affordable. It's insulated, seals properly, and 500 ml is enough for me to carry around campus."
survey_water-bottle-choice__3RcVUnR,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-7e45027b127a.yaml,1.0,fuguang_316,富光 316 保温杯,39.9,5,price,4,45-54,Value-driven,MENA,Lower-middle,Woman,Empty nester,<$25k,Full-time,"Бюджет ограничен, а эта бутылка дешёвая и надёжная — 316 сталь, вакуумная изоляция, хорошая крышка. Мне не нужны большие объёмы или бренд, важна практичность за малые деньги."
survey_water-bottle-choice__3WJvnP7,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-62ca5a921b8d.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,price,4,18-24,Value-driven,Sub-Saharan Africa,Low income,Woman,Early career,<$25k,Full-time,"Nahitaji kitu cha bei rahisi sana wala cha kifahari kupita kiasi, na hii inatoa 316/316L halisi kwa bei ya kati ya ¥129 ambayo inaonekana sawa. Uwezo wa 600 ml unanitosha kwa matumizi ya kila siku, na 316L ndani ni rahisi kusafisha kuliko chuma cha kawaida."
survey_water-bottle-choice__3kD8Bdr,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-1c1814de5669.yaml,1.0,fuguang_316,富光 316 保温杯,39.9,5,price,4,55-64,Cost-sensitive,East Asia,Middle,Woman,Mid-life,<$25k,Full-time,我平时就是用它装白开水，保温够用就行，没必要为牌子多花钱。39.9元这个价格，密封可靠、316不锈钢、坏了丢了也不心疼，最实在。
survey_water-bottle-choice__3mpxuc7,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_wiki-7468db0dd498.yaml,1.0,zojirushi_sm_sz,象印 SM-SZ,229.0,4,insulation,5,25-34,Premium-seeking,MENA,High income,Man,Early career,,Full-time,"Je privilégie la qualité et la durabilité, et Zojirushi est une référence japonaise en matière d'isolation et de finition. Le revêtement intérieur anti-adhérent et la légèreté correspondent à mon usage quotidien intensif, et le prix reste justifié pour un produit premium."
survey_water-bottle-choice__3o29rBg,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-bc533c38a9c1.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,insulation,4,65-74,Cost-sensitive,Sub-Saharan Africa,Middle,Man,Retirement,<$25k,Retired,"At ¥129 it sits in the sweet spot for me: 316/316L stainless inner liner, triple heat blocking, and a tail-less vacuum build that should actually hold temperature, unlike the cheap basic bottles. I drink hot water through the day and my hands aren't what they were, so a reliable insulated 600 ml that I can refill and not fuss over is worth the modest premium over the ¥39.9 option. I skip the Zojirushi and Stanley because the price jumps don't buy me anything I need, and the Nalgene isn't insulated at all."
survey_water-bottle-choice__3uT9aLy,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-7e2890ee4ddd.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,insulation,4,35-44,Premium-seeking,MENA,Upper-middle,Man,Mid-life,$50k-100k,Unemployed,أحتاج زجاجة يومية متينة تحفظ حرارة الشاي أو الماء البارد خلال تنقلاتي، و316 ستانلس مع عزل ثلاثي يبدو أفضل قيمة في فئة المئة يوان. السعر 129 يوان مقبول لميزانيتي ولا أرى داعيًا لدفع أكثر لعلامة تجارية.
survey_water-bottle-choice__3voU2ui,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-440949d11f21.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,insulation,4,65-74,Indifferent,MENA,Upper-middle,Man,Retirement,<$25k,Retired,"I want a daily bottle that actually keeps tea and water hot through a long day, and the Beijixiong gives me the 316/316L liner and triple heat blocking at a price I can justify. The 600 ml size is right for walking and desk use, and the ¥129 tier feels like the sweet spot rather than paying for a viral name. The Stanley is too big and heavy for me, and the plastic Nalgene won't hold temperature at all."
survey_water-bottle-choice__3wLzWFV,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_wiki-6fe6a2365e11.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,insulation,4,65-74,Value-driven,Western Europe,Low income,Man,Mid-life,,Retired,"I want a proper insulated stainless bottle for daily use, and this one gives me a 316/316L liner and triple heat blocking at a fair ¥129 — no point paying Zojirushi or Stanley money for the same job. The 600 ml size suits a full day out and about, and I've learned the hard way that cheap seals and thin walls cost you more in the long run."
survey_water-bottle-choice__3wdLRrw,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-43ed5dad06f0.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,insulation,4,65-74,Value-driven,Sub-Saharan Africa,Low income,Woman,Retirement,$50k-100k,Retired,"Insulation is what matters to me for daily use, and 316/316L steel with triple heat blocking at ¥129 is honest value. The budget Fuguang is too small and the Stanley is far too expensive and bulky for one person. I want something durable, properly insulated, and not paying for a brand name."
survey_water-bottle-choice__46jwRTL,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-51440785a023.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,price,4,55-64,Cost-sensitive,East Asia,Upper-middle,Man,Career change,$25k-50k,Unemployed,价格在¥100档里最实在，316/316L内胆加真空保温，日常够用。容量600ml比500ml多一点，不用老是接水。品牌不如象印有名，但我不太看牌子，看的是钱花在哪。
survey_water-bottle-choice__4Fi9AUo,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-6e9ff3bdd2db.yaml,1.0,fuguang_316,富光 316 保温杯,39.9,5,price,4,35-44,Value-driven,East Asia,Low income,Woman,Parent of young kids,$50k-100k,Part-time,我预算有限，家里两个孩子开销大，这瓶子39.9元便宜又耐用，保温密封都够用。316不锈钢内胆也让我放心，不用为品牌溢价多花钱。
survey_water-bottle-choice__4MBeRzU,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-7a0eb81c88b4.yaml,1.0,fuguang_316,富光 316 保温杯,39.9,5,price,4,55-64,Value-driven,MENA,Low income,Man,Career change,<$25k,Self-employed,"I need a basic daily bottle and my budget is tight, so the ¥39.9 Fuguang is the only price I can justify. It is insulated, seals reliably, and is durable enough for everyday use. Paying ¥119 or more for a water bottle is not something I can do right now."
survey_water-bottle-choice__4N8yQZ6,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-bb8ae9dfad8b.yaml,1.0,fuguang_316,富光 316 保温杯,39.9,4,price,4,35-44,Cost-sensitive,South Asia,Low income,Woman,Early career,<$25k,Homemaker,"Money is tight and I'm expecting, so I need cheap and reliable over fancy. A 500 ml insulated bottle at ¥39.9 with a decent seal does the job, and I'd rather not sink ¥100+ into something I might lose."
survey_water-bottle-choice__4Niy7H3,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-7261d853f5bd.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,insulation,4,18-24,Cost-sensitive,Sub-Saharan Africa,Middle,Woman,Early career,$200k+,Student,"Ninahitaji insulation ya kweli kwa matumizi ya kila siku, na 316/316L ya Beijixiong kwenye ¥129 inatoa thamani bora kuliko Mijia au Zojirushi zinazogharimu zaidi. Fuguang ni nafuu lakini 500 ml haitoshi na insulation yake ni ya msingi tu; Stanley ni kubwa mno na ghali kwa mahitaji yangu."
survey_water-bottle-choice__4PgzT5r,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-46413a371fdb.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,insulation,4,45-54,Premium-seeking,Sub-Saharan Africa,Lower-middle,Woman,Early career,$200k+,Gig / freelance,"I want a genuinely insulated bottle for daily commuting and long shifts, and the Beijixiong 316 gives me a 316/316L liner and triple heat blocking at ¥129 — the best insulation-per-yuan on this shelf. The budget Fuguang is tempting but I distrust its basic vacuum at that price, and the Zojirushi and Stanley premiums buy branding and size I do not need. The 600 ml capacity also fits my day without being bulky."
survey_water-bottle-choice__4R9DuaE,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-54a810e4807f.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,insulation,4,35-44,Cost-sensitive,East Asia,High income,Woman,Mid-life,$25k-50k,Full-time,我选北极熊316保温杯。它用的是316/316L内胆，无尾真空加三重隔热，保温性能在这一档里最好，价格129元也在我能接受的范围内。500ml的福光虽然更便宜，但容量和做工都差一截；再往上的象印和Stanley溢价太高，日常用没必要。
survey_water-bottle-choice__4Xwveaw,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-f1e6fbcc2723.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,insulation,4,35-44,Cost-sensitive,Sub-Saharan Africa,Low income,Woman,Mid-life,<$25k,Full-time,"I need something that actually keeps my tea hot during long shifts, and 316 stainless steel with triple heat blocking at ¥129 is the sweet spot. The Stanley is too big and pricey for me, and the Fuguang feels too cheap to trust for daily use."
survey_water-bottle-choice__4bfj2uJ,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_wiki-da8ac70125d8.yaml,1.0,zojirushi_sm_sz,象印 SM-SZ,229.0,4,insulation,4,65-74,Value-driven,North America,High income,Woman,Mid-life,$200k+,Self-employed,"I live alone, work solo, and value reliability above novelty, so a single bottle that performs flawlessly for years is worth the premium. The Zojirushi's top-tier insulation, ultra-light body, and non-stick interior that is genuinely easy to clean matter more to me than saving ¥100 or gaining a viral tumbler's bulk. The 480 ml size suits a desk-and-car routine without being cumbersome."
survey_water-bottle-choice__4iFY4vG,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-61cfcadc0ce0.yaml,1.0,fuguang_316,富光 316 保温杯,39.9,5,price,5,18-24,Cost-sensitive,Latin America,Low income,Woman,Student,<$25k,Student,"Soy estudiante con presupuesto muy limitado y vivo con mi familia, así que ¥39.9 es lo único que puedo pagar sin culpa. Es un termo de acero 316 con buen sellado, marca nacional confiable y cumple lo básico para llevar agua todo el día. No necesito 1 litro ni diseño viral, solo que no se derrame en mi mochila."
survey_water-bottle-choice__4ji7WMh,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-78980c045389.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,price,4,25-34,Cost-sensitive,Sub-Saharan Africa,Lower-middle,Woman,Mid-life,$100k-200k,Unemployed,"I want insulated performance for daily use, and the Beijixiong 316 gives a 316/316L liner, tail-less vacuum, and triple heat blocking for ¥129 — the best value at the mid tier. The budget Fuguang is cheaper but I'd rather pay a little more for a better seal and durability, and the premium Zojirushi and Stanley cost far more than I need to spend."
survey_water-bottle-choice__4p6zoKD,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-5600eb91a09d.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,price,4,18-24,Value-driven,South Asia,Low income,Man,Early career,<$25k,Student,"I want real vacuum insulation for daily commutes and caregiving errands, and 316/316L steel with triple heat blocking at ¥129 is the best value on this shelf. The 600 ml size is practical without being bulky, and I do not trust the uninsulated Nalgene or the pricier brand-name bottles enough to pay double."
survey_water-bottle-choice__4rCidJs,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_wiki-b8b7d8406ce2.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,5,insulation,4,75-84,Indifferent,Latin America,Middle,Woman,Mid-life,null,Self-employed,"Aos 79 anos, com saúde frágil, preciso de uma garrafa térmica de verdade para manter a água quente ao longo do dia, e não de plástico ou de um copo viral gigante. O Beijixiong me dá o aço 316 e o isolamento superior que a Zojirushi oferece, mas por um preço bem mais razoável — equilíbrio perfeito entre qualidade e valor."
survey_water-bottle-choice__4rwQgxX,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_wiki-1d62638c82a3.yaml,1.0,zojirushi_sm_sz,象印 SM-SZ,229.0,4,insulation,4,75-84,Indifferent,East Asia,Upper-middle,Man,Mid-life,null,Full-time,"나는 하루 종일 차를 마시는 사람이라 보온 성능과 세척 용이성을 가장 중시한다. 조지루시 SM-SZ는 최상급 보온력과 논스틱 내부 코팅으로 관리가 쉽고, 480ml 용량과 초경량 설계가 외출 시 부담이 없다. 일본 프리미엄 브랜드의 신뢰성에 비추어 229위안은 합리적인 지출이다."
survey_water-bottle-choice__4vNdtZ3,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-6b50b60c9205.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,insulation,4,55-64,Value-driven,Sub-Saharan Africa,Upper-middle,Woman,Career change,$50k-100k,Part-time,"I want real insulation for daily use, and the Beijixiong gives me 316/316L stainless with triple heat blocking at a price I can justify. The Fuguang is cheaper but feels too basic, and the Zojirushi and Stanley are more money than I'd spend on a bottle I'll knock around. 600 ml also suits me better than the small 480-500 ml options."
